Model,Adjusted R-Squared,R-Squared,RMSE,Pearson,Spearman,Time Taken
ExtraTreesRegressor,0.8522087010251878,0.8599195514064824,0.5057988267335144,0.9273488060288702,0.9465432311270795,0.04381084442138672
SVR,0.8481922610625056,0.8561126648331574,0.5126256587440989,0.9265631159162067,0.935215107698451,0.003461122512817383
LGBMRegressor,0.8452430781632031,0.8533173523459925,0.5175811198610707,0.924316506184053,0.9426001554005392,0.0692908763885498
NuSVR,0.8385027142499553,0.8469286595934359,0.5287324902046403,0.9252340780729522,0.9353960361096016,0.006593227386474609
HistGradientBoostingRegressor,0.8369139853793249,0.8454228209247514,0.5313268272014318,0.9197906591853983,0.9402254858754165,0.7388038635253906
RandomForestRegressor,0.831489271522567,0.8402811356170418,0.5400912763095602,0.9172535177816372,0.9390237962226546,0.09815788269042969
MLPRegressor,0.8251047413973047,0.8342297114113584,0.5502276394921777,0.916862070089778,0.9387951805148415,0.09012508392333984
GradientBoostingRegressor,0.8231660742685062,0.8323921921327581,0.5532687981649744,0.9133324926939789,0.9328516299511075,0.0878300666809082
AdaBoostRegressor,0.8167821397023904,0.82634133241357,0.5631671160521081,0.9112172009961162,0.9359100240910473,0.036520957946777344
XGBRegressor,0.8132631237462329,0.8230059172899077,0.5685496928952108,0.9091155475972996,0.9352845770770298,0.3992960453033447
KNeighborsRegressor,0.8029095899151608,0.8131925678326307,0.5840985539184763,0.903232641777137,0.9289655253070437,0.004430294036865234
BaggingRegressor,0.799836172293839,0.81027950243503,0.5886351377814906,0.9006028235065526,0.927628856876639,0.00966501235961914
ExtraTreeRegressor,0.7801673640068373,0.7916368928412632,0.6168782644115842,0.8968626475054365,0.9210847938709061,0.002724170684814453
PoissonRegressor,0.7556363188072953,0.7683857282608277,0.6503867932838522,0.8902311590030821,0.9403118995359789,0.023028850555419922
GammaRegressor,0.6701031429647955,0.687315152897067,0.7556879088259814,0.8770092488459276,0.9406737563582809,0.008935213088989258
LassoLarsIC,0.6054285651208754,0.6260149008536993,0.8264492788702389,0.7927827761162762,0.9527844112834041,0.032517194747924805
Ridge,0.6040422686380373,0.6247009328830093,0.8278998389662967,0.7919348288061565,0.9517873802517426,0.008185148239135742
RidgeCV,0.6029109499457336,0.6236286395137822,0.8290817207978604,0.7912304887512129,0.9508326941673719,0.003421306610107422
OrthogonalMatchingPursuitCV,0.6019815201750718,0.6227477017311549,0.8300514313174366,0.7898038239248285,0.9491311971944206,0.005710124969482422
LassoLarsCV,0.6014883358845804,0.6222802487949501,0.830565530050921,0.7900364658205539,0.9482535019233055,0.0055048465728759766
LarsCV,0.6014627108244621,0.6222559606944902,0.8305922330955595,0.7900351620408761,0.9482535019233055,0.010018110275268555
BayesianRidge,0.6006691710548742,0.6215038229998372,0.8314187306666703,0.7898633884888202,0.9465828012756567,0.007028102874755859
Lars,0.6003147693991944,0.6211679118653233,0.831787586270014,0.7897422479161516,0.9480725735121546,0.059213876724243164
LinearRegression,0.6003123835357629,0.6211656504817231,0.8317900688844208,0.7897408247471902,0.9480725735121546,0.002866029739379883
TransformedTargetRegressor,0.6003123835357629,0.6211656504817231,0.8317900688844208,0.7897408247471902,0.9480725735121546,0.003287076950073242
SGDRegressor,0.6002791370906528,0.6211341386337491,0.8318246627605874,0.788587589862949,0.9402310591820605,0.002933979034423828
LassoCV,0.5994822018159658,0.6203787825907849,0.8326534665466141,0.7899504096461725,0.9480148304022129,0.06830215454101562
ElasticNetCV,0.5972936368888757,0.6183044036598908,0.8349253175377047,0.7898458659292903,0.9437572384291719,0.021381139755249023
DecisionTreeRegressor,0.5901653332036626,0.6115480114712976,0.8422824082054746,0.819051553992219,0.8654423032814123,0.0027599334716796875
HuberRegressor,0.5901371190684478,0.6115212693779201,0.8423114002145629,0.7853937097482204,0.9383832796639233,0.00534820556640625
TweedieRegressor,0.5816392634529546,0.6034667801423657,0.8509985967002192,0.7887350323011404,0.9397498665992121,0.015974760055541992
OrthogonalMatchingPursuit,0.576009534398969,0.598130776082501,0.8567052528502153,0.7748114651100946,0.9384063769079001,0.006006956100463867
LinearSVR,0.5543393926795688,0.5775912504528086,0.878325533893884,0.763442654162796,0.9022322432997041,0.0038089752197265625
ElasticNet,0.420681196811176,0.45090652567320155,1.0014106293911198,0.7886970420126999,0.9394457528868522,0.003240823745727539
RANSACRegressor,0.36453786270477573,0.3976924089984395,1.0488133918254052,0.7448015243060293,0.8774450509720277,0.05684685707092285
Lasso,0.03506939023298794,0.08541359595996234,1.2924133224996601,0.7748114567713509,0.9384063769079001,0.003041982650756836
LassoLars,0.03506935136965761,0.08541355912428406,1.2924133485261355,0.7748113341204859,0.9384063769079001,0.010343313217163086
QuantileRegressor,-0.05511175970787208,-6.245050572228905e-05,1.3514581953313816,0.7831516793068964,0.9359435895382298,10.98531198501587
DummyRegressor,-0.05786261499195522,-0.0026697829054185274,1.353218788885063,,,0.002210855484008789
PassiveAggressiveRegressor,-1.5897127491070413,-1.454597301327544,2.117284322973969,0.799879311261781,0.9535620184972868,0.008668899536132812
KernelRidge,-3.1313944781511305,-2.9158434618997675,2.6742482287567113,0.7919345588084201,0.9517873802517426,0.024085044860839844
GaussianProcessRegressor,-21.397794474574123,-20.229213893292,6.2266723282947,0.17740948806382453,0.42850391979664965,0.0944521427154541
