Model,Adjusted R-Squared,R-Squared,RMSE,Pearson,Spearman,Time Taken
NuSVR,0.7869156438314547,0.798033088501118,0.5675145776591198,0.8941477057692985,0.9061140605597738,0.003513813018798828
SVR,0.7831148622156998,0.7944306085348807,0.5725535802010241,0.8966189305773367,0.907729470242162,0.0032210350036621094
MLPRegressor,0.7764704792008306,0.7881328889816568,0.5812576501853683,0.8937836762030396,0.9047986555326865,0.20779895782470703
ExtraTreesRegressor,0.7639802093076735,0.7762942853437949,0.5972765290509686,0.8855648579889606,0.8942827849417085,0.043495893478393555
KNeighborsRegressor,0.7627515567651288,0.7751297364121655,0.598829137740388,0.8866871685076564,0.897859546950267,0.0029358863830566406
HistGradientBoostingRegressor,0.7456271468842012,0.7588987740032863,0.6200641446887785,0.8758813602207262,0.8934433447281016,1.1648540496826172
AdaBoostRegressor,0.7392792189039057,0.752882042265441,0.6277533841382047,0.8690745353261874,0.9014331403258922,0.03178524971008301
GradientBoostingRegressor,0.7361237811099994,0.7498912360086082,0.6315407296456969,0.8734134892449005,0.8847020786516194,0.06638216972351074
PoissonRegressor,0.732460540264904,0.7464191207728221,0.6359092776398598,0.8787194633674226,0.9070986912233249,0.015409231185913086
RandomForestRegressor,0.7310340081651123,0.7450670164347586,0.6376023717668863,0.8713723322395432,0.8859733521281334,0.13052916526794434
LGBMRegressor,0.7286601692001817,0.7428170299375636,0.6404098650037117,0.8669604882262851,0.8870563203741292,0.0796058177947998
XGBRegressor,0.7130339423564704,0.7280060844943936,0.6585920804600576,0.8624343695963519,0.8732380728106807,0.30207180976867676
BaggingRegressor,0.711860484049147,0.7268938500987567,0.6599372602755507,0.8632245867493216,0.885479546779655,0.00993204116821289
GammaRegressor,0.6425785968167351,0.6612266700262968,0.7350070691561037,0.8678489037035725,0.9062563704603652,0.01906299591064453
OrthogonalMatchingPursuitCV,0.6108063533366804,0.6311121088147666,0.7669801237426179,0.7990058017579935,0.9164872984488238,0.005611896514892578
LassoLarsCV,0.6095022068643396,0.6298760047670697,0.7682640834061031,0.8022206890200931,0.9212219873036331,0.00554203987121582
Lars,0.6092507821944109,0.6296376979060068,0.7685113696456864,0.7969839233454918,0.9136911012128804,0.0036139488220214844
LassoCV,0.6091172619437011,0.6295111439292471,0.7686426598209101,0.8016398987260493,0.9192450335494722,0.037596940994262695
LinearSVR,0.6089569159867539,0.6293591638483146,0.7688002980251754,0.793331069185991,0.9047486547568029,0.0029981136322021484
LassoLarsIC,0.6079219835013183,0.62837822784038,0.7698169771153681,0.8003241124678759,0.9184950219112206,0.0036940574645996094
RidgeCV,0.6058767434481327,0.6264396959638823,0.7718222063410731,0.7988530966535925,0.9153488192440931,0.0029058456420898438
ElasticNetCV,0.6058178680858703,0.626383892359651,0.7718798527934592,0.8008725945229421,0.9185719461818104,0.021446943283081055
TransformedTargetRegressor,0.6056256771343829,0.6262017287621542,0.7720680021706536,0.797346436024004,0.9131949396675755,0.0030128955841064453
LinearRegression,0.6056256771343829,0.6262017287621542,0.7720680021706536,0.797346436024004,0.9131949396675755,0.0027861595153808594
Ridge,0.5967482747387947,0.6177874951872053,0.7807093046485396,0.7984959620484859,0.9135987920881725,0.0030400753021240234
HuberRegressor,0.5959744376544965,0.6170540322116532,0.7814580333160317,0.7934775074687885,0.9094871898251415,0.005460977554321289
SGDRegressor,0.5942580789967251,0.6154272227012438,0.7831161472263721,0.7960393381832525,0.9060448287162429,0.0029158592224121094
BayesianRidge,0.5910081941501037,0.6123468970640114,0.7862461680707534,0.7966035198700935,0.9097371937045589,0.003340005874633789
OrthogonalMatchingPursuit,0.5780519497285983,0.6000666306123236,0.7986026198044512,0.7882003714581447,0.9021832303326293,0.004591703414916992
DecisionTreeRegressor,0.5759252536698756,0.5980508926088385,0.8006126425733456,0.8170464931488048,0.8531974813887933,0.0030291080474853516
TweedieRegressor,0.5686018355188402,0.5911095658395964,0.8074960094907013,0.7960450023247623,0.905960212018594,0.015144824981689453
ExtraTreeRegressor,0.563905180332744,0.5866579535327747,0.8118797367200092,0.8123683632335523,0.83161652754238,0.002786874771118164
LarsCV,0.561421170511976,0.5843035442243947,0.8141886996762786,0.7975284747429867,0.9098871960322092,0.00529789924621582
ElasticNet,0.41730735348758474,0.4477087089577977,0.9384713244489027,0.7960312612868643,0.9069679199633218,0.002817869186401367
LassoLars,0.09092385661779445,0.13835391627251814,1.1721990599464702,0.7882003625264753,0.9021832303326293,0.0029189586639404297
Lasso,0.09092374685263371,0.13835381223423537,1.1721991307142574,0.7882003622523126,0.9021832303326293,0.010254144668579102
RANSACRegressor,-0.05083620766660246,0.003990029255133143,1.2602849572587476,0.6882290593785212,0.7570886711459335,0.04389810562133789
DummyRegressor,-0.06062261622393028,-0.0052857840731166394,1.2661398567069808,,,0.002300739288330078
QuantileRegressor,-0.2669556540596911,-0.20085361993483786,1.3838274633344143,0.7895707715060616,0.8960090532914277,13.485311031341553
PassiveAggressiveRegressor,-0.44692659199530915,-0.3714347698042497,1.4788512320301501,0.7967349918518389,0.9096641156474984,0.0035791397094726562
KernelRidge,-3.093795050597631,-2.8802057436099293,2.4875068572859402,0.7984954058764099,0.9135987920881725,0.03276705741882324
GaussianProcessRegressor,-13.824436389553197,-13.050987534446076,4.733586675537502,0.31860426889590254,0.4706265336826233,0.04878687858581543
